"Id"|"CityCode"|"CountryId"|"DescriptionES"|"DescriptionEN"|"DescriptionPT"|"Latitude"|"Longitude"|"ProvinceId"|"IsSearchable"|"IsSearchableBus"|"TimeZone"
61|AGR|95|Agra|Agra|Agra|27.1704|78.015||1|0|India Standard Time
62|AGS|212|Augusta|Augusta|Augusta|33.3644|-82.0708|GA|1|0|Eastern Standard Time
63|AGT|170|Ciudad Del Este|Ciudad Del Este|Ciudad Del Este|-25.5167|-54.6161||1|0|Paraguay Standard Time
64|AGU|143|Aguascalientes|Aguascalientes|Aguascalientes|21.8795|-102.2904|MX_AGU|1|0|Central Standard Time (Mexico)
65|AHB|176|Abha|Abha|Abha|18.2301|42.5001||1|0|Arab Standard Time
66|AHI|92|Amahai|Amahai|Amahai|-3.3281|128.9405||1|0|Tokyo Standard Time
67|AHN|212|Athens|Athens|Athens|33.9508|-83.3689|GA|1|0|Eastern Standard Time
68|AHO|99|Alghero|Alghero|Alghero|40.5589|8.3181||1|0|W. Europe Standard Time
69|AHU|125|Al Hoceima|Al Hoceima|Al Hoceima|35.2433|-3.9309||1|0|Morocco Standard Time
70|AI1|26|Santo Amaro da Imperatriz|Santo Amaro da Imperatriz|Santo Amaro da Imperatriz|-27.6843|-48.7805||1|0|
71|AIA|212|Alliance|Alliance|Alliance|42.1021|-102.8768|NE|1|0|Mountain Standard Time
72|AID|212|Anderson|Anderson|Anderson|40.0875|-85.6921|IN|1|0|US Eastern Standard Time
73|AIK|212|Aiken|Aiken|Aiken|33.5303|-81.7271|SC|1|0|Eastern Standard Time
74|AIT|40|Aitutaki|Aitutaki|Aitutaki|-18.8579523|-159.7852843||1|0|Hawaiian Standard Time
75|AIY|212|Atlantic City|Atlantic City|Atlantic City|39.3795|-74.4524|NJ|1|0|
76|AIZ|212|Lake Of The Ozarks|Lake Of The Ozarks|Lake Of The Ozarks|38.2035|-92.6257|MO|1|0|Central Standard Time
77|AJA|69|Ajaccio|Ajaccio|Ajaccio|41.9271|8.7283||1|0|Romance Standard Time
78|AJR|180|Arvidsjaur|Arvidsjaur|Arvidsjaur|65.5833|19.1667||1|0|W. Europe Standard Time
79|AJU|26|Aracaju|Aracaju|Aracaju|-10.9|-37.12|BR_SE|1|0|UTC-02
80|AKJ|102|Asahikawa|Asahikawa|Asahikawa|43.755|142.38||1|0|Tokyo Standard Time
81|AKL|157|Auckland|Auckland|Auckland|-36.8481|174.763||1|0|New Zealand Standard Time
82|AKN|212|King Salmon|King Salmon|King Salmon|58.754|-156.5066|AK|1|0|Alaskan Standard Time
83|ALA|113|Almaty|Almaty|Almaty|43.325|76.915||1|0|Central Asia Standard Time
84|ALB|212|Albany|Albany|Albany|42.6664|-73.7987|NY|1|0|Eastern Standard Time
85|ALC|62|Alicante|Alicante|Alicante|38.3512|-0.4836|ES-A|1|0|Romance Standard Time
86|ALE|212|Alpine|Alpine|Alpine|30.364|-103.6651|TX|1|0|Central Standard Time
87|ALF|153|Alta|Alta|Alta|69.9666|23.2417||1|0|W. Europe Standard Time
88|ALG|56|Argel|Algiers|Algiers|36.7631|3.0506||1|0|W. Central Africa Standard Time
89|ALH|12|Albany|Albany|Albany|-35.0169|117.8916||1|0|W. Australia Standard Time
90|ALJ|226|Alexander Bay|Alexander Bay|Alexander Bay|-28.6083|16.5033||1|0|South Africa Standard Time
91|ALL|99|Albenga|Albenga|Albenga|44.05|8.2167||1|0|W. Europe Standard Time
92|ALM|212|Alamogordo|Alamogordo|Alamogordo|32.8834|-105.9627|NM|1|0|Mountain Standard Time
93|ALO|212|Waterloo|Waterloo|Waterloo|42.492|-92.3522|IA|1|0|Central Standard Time
94|ALP|193|Aleppo|Aleppo|Aleppo|36.23|37.17||1|0|Syria Standard Time
95|ALS|212|Alamosa|Alamosa|Alamosa|37.4755|-105.877|CO|1|0|Mountain Standard Time
96|ALV|1|Andorra La Vella|Andorra La Vella|Andorra La Vella|42.5|1.5165||1|0|
97|ALW|212|Walla Walla|Walla Walla|Walla Walla|46.0678|-118.3364|WA|1|0|Pacific Standard Time
98|ALX|212|Alexander City|Alexander City|Alexander City|32.924|-85.9353|AL|1|0|Central Standard Time
99|ALY|59|Alejandria|Alexandria|Alexandria|31.2|29.95||1|0|Egypt Standard Time
100|AMA|212|Amarillo|Amarillo|Amarillo|35.1999|-101.8297|TX|1|0|Central Standard Time
101|AMD|95|Ahmedabad|Ahmedabad|Ahmedabad|23.0301|72.58||1|0|India Standard Time
102|AMI|92|Mataram|Mataram|Mataram|-8.5795|116.135||1|0|Singapore Standard Time
103|AMM|101|Amman|Amman|Amman|31.95|35.9333||1|0|Jordan Standard Time
104|AMS|152|Amsterdam|Amsterdam|Amsterdam|52.35|4.9166||1|0|W. Europe Standard Time
105|AMW|212|Ames|Ames|Ames|42.0262|-93.6275|IA|1|0|Central Standard Time
106|ANA|212|Anaheim |Anaheim |Anaheim |33.839|-117.8572|CA|1|0|E. Africa Standard Time
107|ANB|212|Anniston|Anniston|Anniston|33.6713|-85.8137|AL|1|0|Central Standard Time
108|ANC|212|Anchorage|Anchorage|Anchorage|61.1508|-149.1091|AK|1|0|Alaskan Standard Time
109|AND|212|Anderson|Anderson|Anderson|34.521|-82.6477|SC|1|0|Eastern Standard Time
110|ANE|69|Angers|Angers|Angers|47.48|-0.53||1|0|Romance Standard Time
111|ANF|41|Antofagasta|Antofagasta|Antofagasta|-23.65|-70.4||1|0|Pacific SA Standard Time
112|ANG|69|Angouleme|Angouleme|Angouleme|45.65|0.15||1|0|Romance Standard Time
113|ANI|212|Aniak|Aniak|Aniak|61.5818|-159.5448|AK|1|0|Alaskan Standard Time
114|ANK|204|Ankara|Ankara|Ankara|39.9272|32.8644||1|0|Turkey Standard Time
115|ANP|212|Annapolis|Annapolis|Annapolis|38.9705|-76.5047|MD|1|0|Eastern Standard Time
116|ANR|17|Antwerp|Antwerp|Antwerp|51.2204|4.415||1|0|Romance Standard Time
117|ANU|4|Antigua|Antigua|Antigua|17.0746557|-61.8175207||1|0|SA Western Standard Time
118|ANW|212|Ainsworth|Ainsworth|Ainsworth|42.5484|-99.8575|NE|1|0|Central Standard Time
119|ANX|153|Andenes|Andenes|Andenes|69.3203|16.1428||1|0|W. Europe Standard Time
120|AOC|51|Altenburg|Altenburg|Altenburg|50.9876|12.4368||1|0|W. Europe Standard Time
121|AOH|212|Lima|Lima|Lima|40.7409|-84.1121|OH|1|0|Eastern Standard Time
122|AOI|99|Ancona|Ancona|Ancona|43.6004|13.4999||1|0|W. Europe Standard Time
123|AOJ|102|Aomori|Aomori|Aomori|40.825|140.71||1|0|Tokyo Standard Time
124|AOK|82|Karpathos|Karpathos|Karpathos|35.5065|27.213||1|0|GTB Standard Time
125|AOO|212|Altoona|Altoona|Altoona|40.5084|-78.401|PA|1|0|Eastern Standard Time
126|AOR|144|Alor Setar|Alor Setar|Alor Setar|6.1133|100.3729||1|0|Singapore Standard Time
127|APC|212|Napa|Napa|Napa|38.2982|-122.3011|CA|1|0|Pacific Standard Time
128|APF|212|Naples|Naples|Naples|26.1504|-81.7936|FL|1|0|Eastern Standard Time
129|APL|145|Nampula|Nampula|Nampula|-15.136|39.293||1|0|South Africa Standard Time
130|APN|212|Alpena|Alpena|Alpena|45.0745|-83.4383|MI|1|0|Eastern Standard Time
131|APO|44|Apartadó|Apartadó|Apartadó|7.883|-76.6259|CO02|1|0|SA Pacific Standard Time
132|APS|26|Anapolis|Anapolis|Anapolis|-16.3196|-48.96|BR_GO|1|0|E. South America Standard Time
133|APW|222|Apia|Apia|Apia|-13.8415|-171.7386||1|0|Samoa Standard Time
134|AQI|176|Qaisumah|Qaisumah|Qaisumah|28.334408|46.121315||1|0|Arab Standard Time
135|AQJ|101|Aqaba|Aqaba|Aqaba|32.729|35.7988||1|0|Jordan Standard Time
136|AQP|160|Arequipa|Arequipa|Arequipa|-16.42|-71.53||1|0|SA Pacific Standard Time
137|AR1|26|Angra dos Reis|Angra dos Reis|Angra dos Reis|-23.0|-44.3||1|0|
138|ARB|212|Ann Arbor|Ann Arbor|Ann Arbor|42.2757|-83.7312|MI|1|0|Eastern Standard Time
139|ARH|174|Arkhangelsk|Arkhangelsk|Arkhangelsk|64.5472507|40.5601553||1|0|Russian Standard Time
140|ARI|41|Arica|Arica|Arica|-18.5|-70.29||1|0|Pacific SA Standard Time
141|ARK|208|Arusha|Arusha|Arusha|-3.36|36.67||1|0|E. Africa Standard Time
142|ARM|12|Armidale|Armidale|Armidale|-30.5123|151.6675||1|0|AUS Eastern Standard Time
143|ART|212|Watertown|Watertown|Watertown|43.9734|-75.9094|NY|1|0|Eastern Standard Time
144|ARU|26|Aracatuba|Aracatuba|Araçatuba|-21.21|-50.45|BR_SP|1|0|E. South America Standard Time
145|ARV|212|Minocqua|Minocqua|Minocqua|45.8788|-89.7033|WI|1|0|Central Standard Time
146|ARW|173|Arad|Arad|Arad|46.17|21.32||1|0|GTB Standard Time
147|ASB|200|Ashgabat|Ashgabat|Ashgabat|37.95|58.3833||1|0|West Asia Standard Time
148|ASD|27|Andros Town|Andros Town|Andros Town|24.705|-77.7691||1|0|Eastern Standard Time
149|ASE|212|Aspen|Aspen|Aspen|39.1948|-106.837|CO|1|0|Mountain Standard Time
150|ASF|174|Astrakhan|Astrakhan|Astrakhan|46.3487|48.055||1|0|Astrakhan Standard Time
151|ASH|212|Nashua|Nashua|Nashua|42.7492|-71.491|NH|1|0|Eastern Standard Time
